tissue,log2FoldChange,padj,up_regulated
Lung,3.38527593245267,4.33205621144176e-57,1
Liver,2.89517473663413,3.09692303286442e-09,1
BM,3.52203697183995,6.04513848260801e-62,1
Spleen,3.98541239717263,3.71852022934551e-31,1
Ovary,2.095752138777,0.030219837119252,1
Kidney,3.14918484359042,4.92087158057948e-17,1
